report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,CPM（千次展示费用） (USD),spend,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,ctr,custom_derived_metrics:334261784830934,基于展示次数的 3 秒视频播放率,帖子评论数,帖文互动,成效获得率,video_completions,结果（初始）,成效（初始）指标
2025-12-01,2026-08-26,20260729_GrowMe_EN_4x5_FX-SelfGrowth _ZT- Learning-pic15_RS-P3X1R1C3_fj,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_2_joy,643,2.161742,1.39,1.0,1.39,,,,,,1.244168,0.125,,,11.0,,,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_4x5_FX-SelfGrowth _ZT- Learning-pic1_RS-P3X1R1C3_fj,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_2_joy,368,3.559783,1.31,,,,,,,,2.173913,0.0,,,8.0,,,,
2025-12-01,2026-08-26,20260727_growme_EN_9x16_FX-Readers_ZT-BookReading_LVL1-Podcast_RS-P1X1R3C3_pingme_ZYL,inactive,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0731_joy,4208,4.249049,17.88,3.0,5.96,,,,,,0.594106,0.14285714,9.93346,,448.0,,11.0,,
2025-12-01,2026-08-26,20260731_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-3week_RS-P1X1R3C3_wxx,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0731_joy,358,5.0,1.79,,,,,,,,0.558659,0.0,27.374302,,100.0,,,,
2025-12-01,2026-08-26,20260731_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-anjian1_RS-P1X1R3C3_wxx,inactive,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0731_joy,7262,3.069402,22.29,3.0,7.43,,,,,,1.33572,0.03157895,26.673093,,2041.0,,37.0,,
2025-12-01,2026-08-26,20260731_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-3week-2_RS-P1X1R3C3_wxx,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0731_joy,111,5.495496,0.61,,,,,,,,0.0,,24.324324,,27.0,,,,
2025-12-01,2026-08-26,20260731_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-anjian2_RS-P1X1R3C3_wxx,inactive,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0731_joy,6814,3.621955,24.68,4.0,6.17,,,,,,1.42354,0.04081633,29.967714,,2152.0,,32.0,,
2025-12-01,2026-08-26,20260731_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning-paoku_RS-P3X1R1C3_fj,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0731_joy,2346,2.067349,4.85,,,,,,,,2.00341,0.0,30.733163,,774.0,,11.0,,
2025-12-01,2026-08-26,20260731_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-ceo_RS-P1X1R3C1_gy,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0731_joy,99,5.454545,0.54,,,,,,,,0.0,,17.171717,,17.0,,1.0,,
2025-12-01,2026-08-26,20260731_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Lifelessons-water_RS-P3X1R1C3_gy,inactive,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0731_joy,11260,3.428064,38.6,13.0,2.969231,,,,,,0.737123,0.22807018,10.426288,,1324.0,,90.0,,
