报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"CPM（千次展示费用） (USD)","已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,"单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",帖子评论数,帖文互动,结果（初始）,成效（初始）指标
2026-06-01,2026-07-06,20260630_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Challenge-consistency_RS-P1X1R3C3_wxx,inactive,,,,260701_ABO_AEO-Purchase_ios_vid_Growme_WW_0630_joy,7534,4.40669,33.2,4,8.3,,,,,,1.738784,0.03703704,19.046987,50,,1592,,
2026-06-01,2026-07-06,20260630_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Learning-lifelonglearn_RS-P1X1R3C3_wxx,inactive,,,,260701_ABO_AEO-Purchase_ios_vid_Growme_WW_0630_joy,9394,5.211837,48.96,10,4.896,,,,,,1.841601,0.08264463,20.992123,173,,2177,,
2026-06-01,2026-07-06,20260630_GrowMe_EN_0_9x16_FX-EnglishLearners_ZT-Learning-1000_RS-P3X1R1C3_fj,inactive,,,,260701_ABO_AEO-Purchase_ios_vid_Growme_WW_0630_joy,4067,4.804524,19.54,8,2.4425,6,3.256667,,,,1.303172,0.14814815,30.686009,37,,1316,,
2026-06-01,2026-07-06,20260630_GrowMe_EN_9x16_FX-Professionals_ZT-LifeLessons-responsibility_RS-P3X1R1C3_fj,inactive,,,,260701_ABO_AEO-Purchase_ios_vid_Growme_WW_0630_joy,8928,3.425179,30.58,6,5.096667,,,,,,0.985663,0.13333333,17.943548,57,,1702,,
2026-06-01,2026-07-06,20260630_GrowMe_EN_9x16_FX-SelfGrowth_ZT-LifeLessons-loveyourself_RS-P3X1R1C3_fj,inactive,,,,260701_ABO_AEO-Purchase_ios_vid_Growme_WW_0630_joy,14040,2.708689,38.03,3,12.676667,,,,,,0.954416,0.03370787,19.57265,192,,2923,,
2026-06-01,2026-07-06,20260629_growme_EN_9x16_FX-SelfGrowth_ZT-Habits-change_RS-P1X1R3C3_wxx,active,4,actions:app_custom_event.fb_mobile_purchase,36.825,260630_ABO_AEO-Purchase_ios_vid_Growme_WW_0629_joy,38894,3.787217,147.3,35,4.208571,5,29.46,4,36.825,0.35723,1.676351,0.06930693,14.796627,230,1,6463,,
2026-06-01,2026-07-06,20260629_growme_EN_9x16_FX-Overthinkers_ZT-LifeLessons-thelast_RS-P1X1R3C3_wxx,active,,,,260630_ABO_AEO-Purchase_ios_vid_Growme_WW_0629_joy,51,2.352941,0.12,,,,,,,,0,,17.647059,2,,11,,
2026-06-01,2026-07-06,20260629_growme_EN_9x16_FX-EnglishLearners_ZT-learning-speak_RS-P1X1R3C3_wxx,inactive,,,,260630_ABO_AEO-Purchase_ios_vid_Growme_WW_0629_joy,9179,2.478483,22.75,18,1.263889,,,,,,1.296438,0.24,16.755638,110,,1681,,
2026-06-01,2026-07-06,20260629_GrowMe_EN_9x16_FX-Learning_ZT-EnglishLearners-speak_LV1-Player_RS-P3X1R1C3_fj,inactive,,,,260630_ABO_AEO-Purchase_ios_vid_Growme_WW_0629_joy,2884,6.154646,17.75,8,2.21875,,,,,,4.61165,0.05925926,26.178918,106,,902,,
2026-06-01,2026-07-06,20260629_growme_EN_9x16_FX-Women_ZT-SelfImprovement-women_RS-P1X1R3C3_fj,inactive,7,actions:app_custom_event.fb_mobile_purchase,34.59857143,260630_ABO_AEO-Purchase_ios_vid_Growme_WW_0629_joy,97586,2.481811,242.19,97,2.496804,9,26.91,7,34.598571,0.66997,0.801344,0.21555556,13.811407,954,,14663,,
2026-06-01,2026-07-06,"20260629_growme_EN_9x16_FX-SelfGrowth_ZT-Successful- changelife_RS-P1X1R3C3_fj",inactive,,,,260630_ABO_AEO-Purchase_ios_vid_Growme_WW_0629_joy,16617,4.406933,73.23,19,3.854211,,,,,,2.00999,0.07916667,16.001685,248,2,3001,,
