report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,CPM（千次展示费用） (USD),spend,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,ctr,custom_derived_metrics:334261784830934,hook_rate,帖子评论数,帖文互动,成效获得率,video_completions,结果（初始）,成效（初始）指标
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-Women_ZT-EmotionalHealth_RS-P1X1R3C3_aitool_cty,active,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,1210,1.355372,1.64,,,,,,,,1.157025,0.0,14.793388,,191.0,,3.0,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-FinanceSeekers_ZT-Finance_RS-P1X1R3C3_aitool_cty,active,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,408,1.397059,0.57,,,,,,,,0.980392,0.0,17.647059,,75.0,,3.0,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-Students_ZT-Habits_RS-P1X1R3C3_aitool_cty,active,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,20415,1.763409,36.0,21.0,1.714286,2.0,18.0,,,,0.680872,0.22340426,12.187117,,2684.0,,77.0,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Growth_RS-P1X1R3C3_aitool_cty,active,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,433,1.224018,0.53,,,,,,,,0.461894,0.0,9.468822,,48.0,,1.0,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-Overthinkers_ZT-Mindset_RS-P1X1R3C3_aitool_cty,active,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,475,0.905263,0.43,,,,,,,,2.315789,0.0,17.473684,,91.0,,,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-SelfGrowth_ZT-SelfImprovement_RS-P1X1R3C3_aitool_cty,active,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,5957,1.680376,10.01,,,,,,,,0.671479,0.0,17.072352,,1099.0,,41.0,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-Professionals_ZT-LifeLessons_RS-P1X1R3C3_aitool_cty,inactive,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,11271,1.220832,13.76,2.0,6.88,,,,,,0.896105,0.05405405,13.432703,,1611.0,,59.0,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning_RS-P1X1R3C3_aitool_cty,inactive,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,10590,1.000944,10.6,5.0,2.12,,,,,,0.679887,0.12195122,13.663834,,1568.0,,58.0,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-Readers_ZT-Discipline_RS-P1X1R3C3_aitool_cty,active,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,403,1.215881,0.49,,,,,,,,1.488834,0.0,11.662531,,50.0,,1.0,,
2025-12-01,2026-07-27,20260721_GrowMe_EN_9x16_FX-Students_ZT-Learning_RS-P1X1R3C3_aitool_cty,inactive,,,,260723_ABO_AEO-Purchase_ios_vid_Growme_WW_文案2_joy,10019,0.793492,7.95,4.0,1.9875,,,,,,0.978142,0.12121212,13.684,,1440.0,,42.0,,
