report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,CPM（千次展示费用） (USD),spend,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,ctr,custom_derived_metrics:334261784830934,基于展示次数的 3 秒视频播放率,帖子评论数,帖文互动,成效获得率,video_completions,结果（初始）,成效（初始）指标
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Professionals_ZT-MicroLearning_RS-P1X1R1_aitool_cty,inactive,1.0,actions:app_custom_event.fb_mobile_purchase,82.09,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,42241,1.943373,82.09,18.0,4.560556,2.0,41.045,1.0,82.09,0.185772,0.49478,0.13636364,13.804124,1.0,6160.0,0.00236737,436.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Overthinkers_ZT-Discipline_RS-P1X1R2_aitool_cty,not_delivering,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,164,2.987805,0.49,,,,,,,,0.0,,15.243902,,26.0,,1.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-SelfGrowth_ZT-EmotionalHealth_RS-P1X1R2_aitool_cty,not_delivering,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,15,0.666667,0.01,,,,,,,,0.0,,6.666667,,1.0,,,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_9x16_FX-Overthinkers_ZT-EmotionalHealth_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,3,0.0,0.0,,,,,,,,0.0,,,,,,,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_9x16_FX-Women_ZT-Mindset_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,1801,3.514714,6.33,,,,,,,,0.666297,0.0,14.658523,,280.0,,10.0,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_9x16_FX-Readers_ZT-Habits_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,1056,2.537879,2.68,,,,,,,,0.284091,0.0,16.856061,,189.0,,7.0,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Growth_RS-P1X1R3C3_aitool_cty,inactive,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,10637,1.926295,20.49,6.0,3.415,,,,,,0.48886,0.13636364,12.54113,,1416.0,,43.0,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_9x16_FX-SelfGrowth_ZT-BookReading_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,310,3.419355,1.06,,,,,,,,0.0,,11.612903,,37.0,,4.0,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_9x16_FX-Readers_ZT-LifeLessons_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,41,3.902439,0.16,,,,,,,,0.0,,26.829268,,12.0,,1.0,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_9x16_FX-FinanceSeekers_ZT-Finance_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,290,4.862069,1.41,,,,,,,,0.0,,18.965517,,57.0,,2.0,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,244,3.114754,0.76,,,,,,,,0.0,,16.803279,,42.0,,1.0,,
