报告开始日期,报告结束日期,广告名称,广告投放,归因设置,成效,成效指标,单次成效费用,广告组预算,广告组预算类型,"已花费金额 (USD)",展示次数,覆盖人数,广告组名称,订阅次数,"单次订阅费用 (USD)",应用安装量,"单次应用安装费用 (USD)"
2026-07-11,2026-08-10,20260804_GrowMe_EN_9x16_01_FX-innerleader_ZT-Growth-innerleader_RS-P1X1R1C1_wxx,active,"点击后 1 天内",,,,150,单日预算,2.63,154,141,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_0806highvalue_joy,,,,
2026-07-11,2026-08-10,20260804_GrowMe_EN_9x16_01_FX-SelfGrowth_ZT-Growth-boring_RS-P1X1R1C1_wxx,active,"点击后 1 天内",,,,150,单日预算,1.76,127,120,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_0806highvalue_joy,,,,
2026-07-11,2026-08-10,20260804_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Discipline-ai-long_RS-P3X1R1C3_fj,active,"点击后 1 天内",,,,150,单日预算,0.48,20,17,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_0806highvalue_joy,,,,
2026-07-11,2026-08-10,20260804_GrowMe_EN_9x16_FX-SelfGrowth_ZT-SelfImprovement-16_RS-P3X1R1C3_fj,inactive,"点击后 1 天内",,,,150,单日预算,34.63,2341,2139,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_0806highvalue_joy,,,4,8.6575
2026-07-11,2026-08-10,20260804_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Learning-reading_RS-P3X1R1C3_fj,active,"点击后 1 天内",,,,150,单日预算,0.05,4,4,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_0806highvalue_joy,,,,
2026-07-11,2026-08-10,20260804_growme_EN_9x16_FX-Readers_ZT-VP-BookReading-1_RS-P1X1R3C3_gy,active,"点击后 1 天内",,,,150,单日预算,0.14,14,13,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_0806highvalue_joy,,,,
2026-07-11,2026-08-10,20260804_growme_EN_9x16_FX-Readers_ZT-BookReading-tuijian_RS-P1X1R3C3_gy,inactive,"点击后 1 天内",,,,150,单日预算,45.59,3847,3587,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_0806highvalue_joy,1,45.59,2,22.795
2026-07-11,2026-08-10,20260804_GrowMe_EN_9x16_FX-Readers_ZT-Challenge-challenge1_RS-P3X1R1C3_gy,active,"点击后 1 天内",,,,150,单日预算,0.5,36,33,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_0806highvalue_joy,,,,
2026-07-11,2026-08-10,20260805_GrowMe_EN_9x16_FX-Readers_ZT-Communication_RS-P1X1R3C3_aitool_cty,inactive,"点击后 1 天内",,,,150,单日预算,58.12,5268,5138,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_0806highvalue_joy,1,58.12,7,8.302857
2026-07-11,2026-08-10,20260803_GrowMe_EN_9x16_01_FX-SelfGrowth_ZT-Learning-history_RS-P1X1R1C1_wxx,inactive,"点击后 1 天内",,,,150,单日预算,54.91,3649,3222,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_0806highvalue_joy,1,54.91,3,18.303333
2026-07-11,2026-08-10,20260803_GrowMe_EN_9x16_01_FX-SelfGrowth_ZT-Growth-boring_RS-P1X1R1C1_wxx,inactive,"点击后 1 天内",,,,150,单日预算,71.1,4650,4263,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_0806highvalue_joy,2,35.55,9,7.9
2026-07-11,2026-08-10,20260803_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Learning-read_RS-P3X1R1C3_fj,active,"点击后 1 天内",,,,150,单日预算,0.47,40,38,260806_AAA_AEO-Purchase_ios_vid_Growme_T1_0806highvalue_joy,,,,
