报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"已花费金额 (USD)",点击率（全部）,custom_derived_metrics:334261784830934,应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物","单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",视频平均播放时长,结果（初始）,成效（初始）指标
2026-05-01,2026-06-08,20260529_growme_EN_9x16_FX-Creative_ZT-leadership_RS-P1X1R3C3_ZH_RMG-4748H,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_T1_0601_joy,1,0.01,0,,,,,,,,,,,2,,
2026-05-01,2026-06-08,20260601_GrowMe_EN_9x16_FX-Learning_ZT-englishpresentation_RS-P3X1R1C3_fj,inactive,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_T1_0601_joy,4723,44.45,1.460936,0.33333333,16,2.778125,,,,,,19.013339,47,5,,
2026-05-01,2026-06-08,20260601_GrowMe_EN_9x16_FX-Learning_ZT-trainbrain_RS-P3X1R1C3_fj,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_T1_0601_joy,2360,21.12,0.847458,0.25,3,7.04,2,10.56,,,,14.152542,17,7,,
2026-05-01,2026-06-08,20260601_GrowMe_EN_9x16_FX-LifeLessons_ZT-nomoney_RS-P3X1R1C3_fj,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_T1_0601_joy,3,0,0,,,,,,,,,,,0,,
2026-05-01,2026-06-08,20260601_GrowMe_EN_9x16_FX-Quotes_ZT-xiezi_RS-P3X1R1C3_fj,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_T1_0601_joy,26,0.12,3.846154,0,,,1,0.12,,,,53.846154,1,16,,
2026-05-01,2026-06-08,20260601_GrowMe_EN_9x16_FX-Learning_ZT-eadingpower_RS-P3X1R1C3_fj,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_T1_0601_joy,190,1.89,1.052632,1,1,1.89,,,,,,23.157895,1,3,,
2026-05-01,2026-06-08,20260601_GrowMe_0_EN_9x16_FX-Formats_ZT-read_RS-P3X1R1C3_gy,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_T1_0601_joy,2,0,0,,,,,,,,,,,1,,
2026-05-01,2026-06-08,20260601_GrowMe_EN_9x16_FX-Learning_ZT-life_RS-P3X1R1C3_gy,inactive,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_T1_0601_joy,16117,115.12,1.99789,0.30337079,27,4.263704,2,57.56,,,,19.62524,248,7,,
2026-05-01,2026-06-08,20260601_GrowMe_EN_9x16_FX-LifeLessons_ZT-mindset_RS-P3X1R1C3_gy,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_T1_0601_joy,18,0.21,0,,,,,,,,,22.222222,,4,,
2026-05-01,2026-06-08,20260601_GrowMe_EN_9x16_FX-Communication_ZT-read_RS-P3X1R1C3_gy,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_T1_0601_joy,195,1.74,1.538462,0,,,,,,,,25.641026,2,8,,
