报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"CPM（千次展示费用） (USD)","已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,"单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",结果（初始）,成效（初始）指标
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-LifeLessons_ZT-race_RS-P3X1R1C3_fj,inactive,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,20006,2.126862,42.55,30,1.418333,3,14.183333,,,,1.249625,0.24,10.771768,96,,
2026-06-01,2026-06-29,20260624_growme_EN_9x16_FX-Readingbook_ZT-poordad_RS-P1X1R3C3_wxx,active,2,actions:app_custom_event.fb_mobile_purchase,2.375,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,870,5.45977,4.75,9,0.527778,1,4.75,2,2.375,3.058947,1.609195,0.75,15.287356,23,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-Successful_ZT-read_RS-P3X1R1C3_fj,active,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,48,1.458333,0.07,,,,,,,,2.083333,0,16.666667,,,
2026-06-01,2026-06-29,20260623_GrowMe_EN_9x16_FX-Mindset_ZT-confidence_RS-P3X1R1C3_gy,active,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0623_joy,601,3.460899,2.08,,,,,,,,0.831947,0,21.963394,7,,
2026-06-01,2026-06-29,20260623_growme_EN_9x16_FX-Learning_ZT-read2_RS-P1X1R3C3_wxx,active,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0623_joy,4448,4.253597,18.92,7,2.702857,,,,,,1.461331,0.1627907,19.446942,29,,
2026-06-01,2026-06-29,20260624_growme_EN_9x16_FX-LifeLessons_ZT-leave_RS-P1X1R3C3_wxx,inactive,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,9435,2.285109,21.56,11,1.96,,,,,,1.059883,0.275,15.590885,40,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-LifeLessons_ZT-Yesterday_RS-P3X1R1C3_fj,active,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,218,2.798165,0.61,,,,,,,,0.917431,0,27.06422,2,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-Lifelessons_ZT-life_RS-P3X1R1C3_gy,inactive,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,12702,2.474413,31.43,10,3.143,,,,,,1.212407,0.14084507,14.808692,120,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-Learning_ZT-education1_RS-P3X1R1C3_gy_jql,active,3,actions:app_custom_event.fb_mobile_purchase,23.98666667,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,29514,2.438165,71.96,31,2.32129,4,17.99,3,23.986667,0.731656,1.460324,0.09509202,15.125025,350,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-Learning_ZT-english_RS-P3X1R1C3_gy,active,,,,260625_ABO_AEO-Purchase_ios_vid_Growme_WW_0624_joy,1441,1.346287,1.94,,,,,,,,0.624566,0,19.361554,5,,
