报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"CPM（千次展示费用） (USD)","已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,"单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",结果（初始）,成效（初始）指标
2025-12-01,2026-06-26,20260617_GrowMe_EN_9x16_FX-Lifelessons_ZT-present_RS-P3X1R1C3_gy_jql,active,4,actions:app_custom_event.fb_mobile_purchase,24.9925,260618_ABO_AEO-Purchase_ios_vid_Growme_WW_0617_joy,30899,3.23538,99.97,24,4.165417,4,24.9925,4,24.9925,0.680904,1.485485,0.07717042,14.71245,171,,
2025-12-01,2026-06-26,20260617_GrowMe_EN_9x16_FX-Lifelessons_ZT-positive_RS-P3X1R1C3_gy,inactive,1,actions:app_custom_event.fb_mobile_purchase,70.89,260618_ABO_AEO-Purchase_ios_vid_Growme_WW_0617_joy,28872,2.45532,70.89,64,1.107656,2,35.445,1,70.89,0.147835,1.517041,0.32323232,13.3555,344,,
2025-12-01,2026-06-26,20260616_GrowMe_EN_9x16_FX-Mindset_ZT-motivatedai_RS-P3X1R1C3_gy_jql,active,,,,260617_ABO_AEO-Purchase_ios_vid_Growme_WW_0616_joy,1012,3.300395,3.34,1,3.34,,,,,,2.470356,0.04545455,21.245059,2,,
2025-12-01,2026-06-26,20260616_GrowMe_EN_9x16_FX-LifeLessons_ZT-failureai_RS-P3X1R1C3_gy_jql,active,3,actions:app_custom_event.fb_mobile_purchase,1.53,260617_ABO_AEO-Purchase_ios_vid_Growme_WW_0616_joy,2035,2.255528,4.59,7,0.655714,2,2.295,3,1.53,5.211329,1.228501,0.58333333,18.722359,11,,
2025-12-01,2026-06-26,20260616_GrowMe_EN_9x16_FX-LifeLessons_ZT-endai_RS-P3X1R1C3_gy_jql,inactive,,,,260617_ABO_AEO-Purchase_ios_vid_Growme_WW_0616_joy,9148,2.109751,19.3,15,1.286667,,,,,,0.994753,0.39473684,18.320944,33,,
2025-12-01,2026-06-26,20260616_GrowMe_EN_9x16_FX-LifeLessons_ZT-friend_RS-P3X1R1C3_gy_jql,active,,,,260617_ABO_AEO-Purchase_ios_vid_Growme_WW_0616_joy,4900,2.934694,14.38,4,3.595,2,7.19,,,,1.163265,0.11111111,20.571429,14,,
2025-12-01,2026-06-26,20260616_GrowMe_EN_9x16_FX-Mindset_ZT-proofai_RS-P3X1R1C3_gy_jql,inactive,,,,260617_ABO_AEO-Purchase_ios_vid_Growme_WW_0616_joy,8294,2.839402,23.55,5,4.71,,,,,,1.181577,0.08474576,16.976127,67,,
2025-12-01,2026-06-26,20260617_GrowMe_EN_9x16_FX-Mindset_ZT-select_RS-P3X1R1C3_gy_jql,recently_rejected,,,,260618_ABO_AEO-Purchase_ios_vid_Growme_WW_0617_joy,531,2.448211,1.3,,,,,,,,0.94162,0,18.26742,1,,
2025-12-01,2026-06-26,20260617_GrowMe_EN_9x16_FX-Mindset_ZT-better_RS-P3X1R1C3_gy,active,,,,260618_ABO_AEO-Purchase_ios_vid_Growme_WW_0617_joy,4526,3.108705,14.07,2,7.035,,,,,,1.193107,0.05882353,18.139638,77,,
2025-12-01,2026-06-26,20260617_GrowMe_EN_9x16_FX-Mindset_ZT-gentle1_RS-P3X1R1C3_gy_jql,active,3,actions:app_custom_event.fb_mobile_purchase,27.67,260618_ABO_AEO-Purchase_ios_vid_Growme_WW_0617_joy,27044,3.069442,83.01,39,2.128462,3,27.67,3,27.67,0.413806,1.116699,0.23076923,16.136666,123,,
2025-12-01,2026-06-26,"20260617_GrowMe_EN_9x16_FX-Communication_ZT-international friends_RS-P3X1R1C3_fj",inactive,,,,260618_ABO_AEO-Purchase_ios_vid_Growme_WW_0617_joy,6505,3.083782,20.06,16,1.25375,,,,,,1.445042,0.2962963,20.076864,113,,
2025-12-01,2026-06-26,20260617_GrowMe_EN_9x16_FX-Reading_ZT-giveup_RS-P3X1R1C3_gy_jql,active,,,,260618_ABO_AEO-Purchase_ios_vid_Growme_WW_0617_joy,2096,2.829198,5.93,2,2.965,,,,,,1.431298,0.14285714,15.935115,17,,
2025-12-01,2026-06-26,20260617_GrowMe_EN_9x16_FX-Lifelessons_ZT-advice_RS-P3X1R1C3_gy_jql,inactive,,,,260618_ABO_AEO-Purchase_ios_vid_Growme_WW_0617_joy,5956,4.143721,24.68,6,4.113333,,,,,,1.779718,0.07058824,17.830759,34,,
2025-12-01,2026-06-26,20260617_growme_EN_9x16_FX-aitalk_ZT-365_RS-P1X1R3C3_fj,active,,,,260618_ABO_AEO-Purchase_ios_vid_Growme_WW_0617_joy,151,4.834437,0.73,,,,,,,,1.324503,0,21.192053,5,,
2025-12-01,2026-06-26,20260616_growme_EN_9x16_FX-aitalk_ZT-365book_LV1-jindutiao_RS-P1X1R3C1_wxx,active,,,,260617_ABO_AEO-Purchase_ios_vid_Growme_WW_0616_joy,526,4.942966,2.6,,,,,,,,1.330798,0,21.292776,14,,
2025-12-01,2026-06-26,20260616_GrowMe_EN_9x16_FX-Learning_ZT-readAI_RS-P3X1R1C3_gy_jql,inactive,,,,260617_ABO_AEO-Purchase_ios_vid_Growme_WW_0616_joy,28889,1.55284,44.86,55,0.815636,3,14.953333,,,,1.007304,0.35031847,16.646474,145,,
2025-12-01,2026-06-26,20260616_GrowMe_EN_9x16_FX-LifeLessons_ZT-family_RS-P3X1R1C3_gy,active,,,,260617_ABO_AEO-Purchase_ios_vid_Growme_WW_0616_joy,2515,2.318091,5.83,,,,,,,,1.073559,0,17.932406,35,,
2025-12-01,2026-06-26,20260616_growme_EN_9x16_FX-Creative_ZT-Learnforlife_RS-P1X1R1C3_HJ_RMG-5219F,active,,,,260617_ABO_AEO-Purchase_ios_vid_Growme_WW_0616_joy,4253,3.061368,13.02,6,2.17,,,,,,1.904538,0.09230769,21.631789,48,,
2025-12-01,2026-06-26,20260616_growme_EN_9x16_FX-Creative_ZT-Discipline_RS-P1X1R1C3_HJ_RMG-5219H,active,,,,260617_ABO_AEO-Purchase_ios_vid_Growme_WW_0616_joy,747,3.413655,2.55,3,0.85,,,,,,0.937082,0.6,25.435074,18,,
