报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,结果（初始）,成效（初始）指标
2026-05-01,2026-06-15,20260610_GrowMe_EN_9x16_FX-Learning_ZT-english_RS-P3X1R1C3_gy,inactive,5,actions:app_custom_event.fb_mobile_purchase,59.56,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0610_joy,132685,297.8,209,1.42488,14,21.271429,5,59.56,0.387777,1.23601,0.20591133,,
2026-05-01,2026-06-15,20260610_GrowMe_EN_9x16_FX-Habitst_ZT-advice_RS-P3X1R1C3_gy_jql,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0610_joy,313,0.9,,,,,,,,2.236422,0,,
2026-05-01,2026-06-15,20260610_GrowMe_EN_9x16_FX-LifeLessons_ZT-confident_RS-P3X1R1C3_gy,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0610_joy,14992,29.08,9,3.231111,,,,,,1.047225,0.10843373,,
2026-05-01,2026-06-15,20260610_GrowMe_EN_9x16_FX-LifeLessons_ZT-compare_RS-P3X1R1C3_gy,inactive,1,actions:app_custom_event.fb_mobile_purchase,52.15,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0610_joy,19498,52.15,29,1.798276,3,17.383333,1,52.15,0.160307,1.430916,0.18125,,
2026-05-01,2026-06-15,20260610_GrowMe_EN_9x16_FX-Successful_ZT-success_RS-P3X1R1C3_gy,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0610_joy,1282,3.37,2,1.685,,,,,,1.482059,0.18181818,,
2026-05-01,2026-06-15,20260610_GrowMe_EN_9x16_FX-Learning_ZT-habit_RS-P3X1R1C3_gy,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0610_joy,210,0.9,,,,,,,,0,,,
2026-05-01,2026-06-15,20260608_growme_EN_9x16_FX-Learning_ZT-english_RS-P1X1R3C3_wxx,active,,,,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,408,2.37,,,,,,,,2.696078,0,,
2026-05-01,2026-06-15,20260608_growme_EN_9x16_FX-lifelessons_ZT-beokay_RS-P1X1R3C3_wxx,active,,,,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,55,0.15,,,,,,,,1.818182,0,,
2026-05-01,2026-06-15,20260609_GrowMe_EN_9x16_FX-Challenge_ZT-read_RS-P3X1R1C3_gy,active,,,,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,375,1.29,,,,,,,,2.133333,0,,
2026-05-01,2026-06-15,20260609_GrowMe_EN_9x16_FX-Learning_ZT-speak_RS-P3X1R1C3_gy,inactive,3,actions:app_custom_event.fb_mobile_purchase,31.41666667,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,54892,94.25,53,1.778302,4,23.5625,3,31.416667,0.221114,1.102164,0.2746114,,
2026-05-01,2026-06-15,20260609_GrowMe_EN_9x16_FX-LifeLessons_ZT-life_RS-P3X1R1C3_gy,active,,,,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,571,1.98,,,,,,,,1.751313,0,,
2026-05-01,2026-06-15,20260609_GrowMe_EN_9x16_FX-Mindset_ZT-normal_RS-P3X1R1C3_gy_jql,active,,,,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,1579,4.72,1,4.72,,,,,,0.949968,0.09090909,,
