报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"已花费金额 (USD)",点击率（全部）,custom_derived_metrics:334261784830934,应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物","单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",视频平均播放时长,结果（初始）,成效（初始）指标
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-Mindset_ZT-behindlife_RS-P3X1R1C3_fj,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,17,0,0,,,,,,,,,11.764706,,1,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-Mindset_ZT-speech_RS-P3X1R1C3_fj_jql,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,206,0.7,1.941748,0,,,,,,,,11.165049,1,2,,
2026-05-01,2026-06-08,20260602_GrowMe_0_EN_9x16_FX-Learning_ZT-speak_RS-P3X1R1C3_gy,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,841,1.27,1.070155,0.5,1,1.27,,,,,,23.186683,14,7,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-WomenEmpowerment_ZT-woman_RS-P3X1R1C3_fj,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,49,0.07,0,,,,,,,,,34.693878,1,8,,
2026-05-01,2026-06-08,"20260603_GrowMe_EN_9x16_FX- Focus_ZT-morning_RS-P3X1R1C3_fj",active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_WW_0603_joy,219,0.61,1.369863,0,,,,,,,,21.461187,4,5,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-WomenEmpowerment_ZT-women_RS-P3X1R1C3_fj_jql,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_WW_0603_joy,141,0.14,1.41844,0,,,,,,,,31.205674,3,8,,
2026-05-01,2026-06-08,20260603_GrowMe_EN_9x16_FX-Mindset_ZT-howto_RS-P3X1R1C3_fj_jql,active,,,,260604_AAA_AEO-Purchase_ios_vid_Growme_WW_0603_joy,1382,3.33,0.65123,0,,,,,,,,20.40521,8,4,,
2026-05-01,2026-06-08,20260602_GrowMe_0_EN_9x16_FX-LifeLessons_ZT-read_RS-P3X1R1C3_gy,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,112,0.16,0.892857,0,,,,,,,,28.571429,,11,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-Communication_ZT-reading_RS-P3X1R1C3_fj,inactive,2,actions:app_custom_event.fb_mobile_purchase,107.355,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,153482,214.71,1.865365,0.29092527,327,0.656606,4,53.6775,2,107.355,0.063854,17.602716,2108,9,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-Quotes_ZT-10books_RS-P3X1R1C3_fj,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,212,0.26,1.415094,1,1,0.26,,,,,,26.886792,1,3,,
2026-05-01,2026-06-08,"20260602_GrowMe_EN_9x16_FX-Communication_ZT- voice_RS-P3X1R1C3_fj",inactive,1,actions:app_custom_event.fb_mobile_purchase,63.49,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,30951,63.49,1.247133,0.26589595,46,1.380217,3,21.163333,1,63.49,0.172468,20.464605,1339,6,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-Communication_ZT-d1_RS-P3X1R1C3_fj,inactive,1,actions:app_custom_event.fb_mobile_purchase,118.11,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,56304,118.11,1.960784,0.22544643,101,1.169406,3,39.37,1,118.11,0.323004,17.579568,978,7,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-EmotionalHealth_ZT-Mentalhealth_RS-P3X1R1C3_fj_jql,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,42,0.05,0,,,,,,,,,38.095238,1,6,,
